,DAY_OF_WEEK,DISTANCE_GROUP,AIRLINE_ID,ORIGIN_CITY_MARKET_ID,DEST_CITY_MARKET_ID,DAY_OF_MONTH,MONTH,ORIG_STATE,DEST_STATE,DEP_TIME,OUT_TAXI,IN_TAXI,ELAPSED_TIME,NEW_DIST_GROUP
227,6,7,19805,31057,34945,14.0,1.0,25,45.0,900.0,30.0,5.0,225.0,1550.0
228,1,4,19930,30559,32575,2.0,1.0,47,4.0,2100.0,10.0,5.0,135.0,950.0
229,5,4,20304,34689,30559,20.0,1.0,4,47.0,900.0,10.0,15.0,165.0,950.0
230,6,5,20409,31703,33495,14.0,1.0,32,16.0,1500.0,10.0,5.0,195.0,1150.0
231,4,11,21171,32575,30721,5.0,1.0,4,17.0,900.0,10.0,15.0,315.0,2650.0
232,3,4,19393,32337,31714,18.0,1.0,13,7.0,300.0,10.0,5.0,135.0,950.0
233,1,5,19977,31703,31714,16.0,1.0,29,7.0,900.0,30.0,5.0,195.0,1050.0
234,5,4,19805,34614,30194,20.0,1.0,43,42.0,900.0,10.0,5.0,135.0,950.0
235,1,5,19977,32211,31453,23.0,1.0,31,42.0,1500.0,10.0,15.0,165.0,1250.0
236,2,1,19790,30693,30397,31.0,1.0,41,8.0,900.0,10.0,5.0,45.0,250.0
237,6,1,19690,32134,32402,28.0,1.0,9,9.0,1500.0,10.0,5.0,45.0,250.0
238,6,2,19393,33495,30397,21.0,1.0,16,8.0,1500.0,10.0,15.0,75.0,450.0
239,6,5,19977,33105,30325,14.0,1.0,15,5.0,900.0,10.0,5.0,165.0,1050.0
240,4,6,19977,31703,31453,12.0,1.0,32,42.0,2100.0,10.0,5.0,225.0,1450.0
241,1,7,19977,30977,32575,16.0,1.0,12,4.0,2100.0,10.0,5.0,225.0,1750.0
242,5,6,19977,31453,33570,13.0,1.0,42,4.0,1500.0,10.0,5.0,195.0,1350.0
243,3,2,19393,32457,32575,18.0,1.0,4,4.0,1500.0,30.0,5.0,75.0,350.0
244,2,3,19805,30466,34614,3.0,1.0,3,43.0,900.0,10.0,5.0,105.0,550.0
245,2,5,19977,31703,31714,17.0,1.0,29,7.0,900.0,10.0,5.0,165.0,1050.0
246,1,2,20304,30157,32457,30.0,1.0,4,4.0,900.0,30.0,5.0,75.0,250.0
247,1,5,19977,31453,30647,2.0,1.0,42,33.0,1500.0,30.0,5.0,165.0,1050.0
248,1,6,19393,33198,34057,16.0,1.0,22,35.0,1500.0,10.0,5.0,225.0,1450.0
249,3,2,20366,31453,30562,11.0,1.0,42,1.0,2100.0,10.0,5.0,75.0,450.0
250,5,3,20416,31295,33198,6.0,1.0,20,22.0,1500.0,10.0,5.0,105.0,650.0
251,7,3,20366,31453,30599,1.0,1.0,42,1.0,1500.0,10.0,5.0,105.0,550.0
252,5,3,19393,30615,32575,13.0,1.0,42,4.0,1500.0,10.0,15.0,105.0,750.0
253,3,1,19393,30977,31986,18.0,1.0,12,20.0,2100.0,10.0,5.0,45.0,150.0
254,2,10,19977,30852,32575,10.0,1.0,44,4.0,2100.0,10.0,5.0,345.0,2250.0
255,7,11,19805,30721,32575,22.0,1.0,17,4.0,900.0,10.0,25.0,520.0,2650.0
256,5,5,19790,32467,31295,13.0,1.0,7,20.0,1500.0,10.0,5.0,165.0,1150.0
257,2,4,20436,34082,34100,3.0,1.0,7,36.0,2100.0,10.0,5.0,135.0,950.0
258,3,2,20304,33367,31295,4.0,1.0,12,20.0,1500.0,10.0,5.0,75.0,350.0
259,2,2,19790,31650,33316,17.0,1.0,21,27.0,1500.0,10.0,5.0,45.0,250.0
260,4,3,19393,30977,30599,26.0,1.0,12,1.0,900.0,10.0,5.0,105.0,550.0
261,4,4,20304,31638,30325,12.0,1.0,4,5.0,300.0,30.0,5.0,135.0,850.0
262,3,2,20436,35356,34492,18.0,1.0,29,25.0,2100.0,10.0,5.0,75.0,350.0
263,2,4,19977,32457,30325,17.0,1.0,4,5.0,1500.0,30.0,5.0,165.0,950.0
264,4,1,20366,30397,30731,12.0,1.0,8,8.0,1500.0,10.0,5.0,75.0,250.0
